column	7_2009
testVal	197
testVal	1828
testVal	13809
testVal	510
testVal	13672
testVal	2728
testVal	115352
testVal	5289420
testVal	181
testVal	351
testVal	2482
testVal	593
testVal	187
testVal	5355
testVal	156
testVal	792
testVal	1430
testVal	5490
testVal	920
testVal	446
testVal	503
testVal	2222
testVal	418
testVal	432
testVal	571
testVal	1083
testVal	11403
testVal	788
testVal	3021
testVal	1583
testVal	1428
testVal	2374
testVal	574
testVal	3309
testVal	371
testVal	14374
testVal	1156
testVal	1039
testVal	8104
testVal	15873
testVal	12003
testVal	14159
testVal	85
testVal	4769
testVal	1293
testVal	242
testVal	344
testVal	73933
testVal	643
testVal	1402
testVal	192
testVal	740
testVal	4355
testVal	4196
testVal	12322
testVal	1367
testVal	288
testVal	175
testVal	2416
testVal	32894
testVal	500
testVal	665
testVal	18025
testVal	2577
testVal	44932
testVal	1030
testVal	2507
testVal	466
testVal	3468
testVal	117
testVal	39740
testVal	267
testVal	91
testVal	595
testVal	1308
testVal	336
testVal	36354
testVal	190
testVal	128
testVal	4419
testVal	404
testVal	703
testVal	9476
testVal	197
testVal	2978
testVal	3115
testVal	6716
testVal	795
testVal	37443
testVal	407
testVal	180
testVal	1170
testVal	107
testVal	3314
testVal	236
testVal	54
testVal	1331
testVal	1388
testVal	899
testVal	2976
testVal	2605
testVal	2081
testVal	63
testVal	3508
testVal	854
testVal	624
testVal	595
testVal	1642
testVal	715
testVal	1891
testVal	116
testVal	1707
testVal	506
testVal	129
testVal	112
testVal	2483
testVal	1403
testVal	2547
testVal	2119
testVal	238
testVal	92
testVal	200
testVal	2529
testVal	10340
testVal	861
testVal	492
testVal	5325
testVal	328
testVal	7448
testVal	604
testVal	3562
testVal	216
testVal	292
testVal	143
testVal	904
testVal	48277
testVal	60
testVal	584
testVal	1213
testVal	914
testVal	25002
testVal	552
testVal	1455
testVal	2429
testVal	672
testVal	946
testVal	103
testVal	431
testVal	2094
testVal	647
testVal	3148
testVal	255
testVal	122
testVal	12772
testVal	177
testVal	112
testVal	7708
testVal	782
testVal	1910
testVal	5624
testVal	422
testVal	1428
testVal	959
testVal	1419
testVal	172
testVal	292
testVal	10819
testVal	1577
testVal	646
testVal	245
testVal	420
testVal	24996
testVal	1005
testVal	13950
testVal	7680
testVal	558
testVal	9393
testVal	6675
testVal	1970
testVal	258
testVal	349
testVal	3944
testVal	982
testVal	3463
testVal	875
testVal	21
testVal	19982
testVal	707
testVal	945
testVal	1017
testVal	149
testVal	119
testVal	131
testVal	3032
testVal	2494
testVal	589
testVal	6170
testVal	415
testVal	8900
testVal	11762
testVal	381
testVal	3265
testVal	1638
testVal	221
testVal	3420
testVal	16086
testVal	130
testVal	15687
testVal	531
testVal	1269
testVal	753
testVal	21299
testVal	496
testVal	1590
testVal	1238
testVal	29485
testVal	631
testVal	14035
testVal	24687
testVal	222222
testVal	7363
testVal	354
testVal	6967
testVal	140
testVal	1365
testVal	488
testVal	3480
testVal	1239
testVal	3120
testVal	784
testVal	36143
testVal	419
testVal	760
testVal	69577
testVal	509
testVal	1088
testVal	8859
testVal	209
testVal	443
testVal	12448
testVal	261
testVal	102
testVal	289
testVal	28277
testVal	122
testVal	2043
testVal	622
testVal	851
testVal	838
testVal	2024
testVal	6670
testVal	300
testVal	15078
testVal	696
testVal	202
testVal	127
testVal	776
testVal	185
testVal	168
testVal	4811
testVal	1507
testVal	516
testVal	699
testVal	1011
testVal	87
testVal	63498
testVal	443
testVal	86
testVal	20988
testVal	283
testVal	76
testVal	208625
testVal	273
testVal	3190
testVal	8523
testVal	12816
testVal	406
testVal	517
testVal	275
testVal	64
testVal	1817
testVal	4241
testVal	7107
testVal	137
testVal	4399
testVal	451
testVal	2076
testVal	1149
testVal	327
testVal	2737
testVal	8008
testVal	213
testVal	9750
testVal	242
testVal	292
testVal	6939
testVal	17271
testVal	981
testVal	212
testVal	405
testVal	459
testVal	908
testVal	15064
testVal	463
testVal	5581
testVal	5026
testVal	709
testVal	2048
testVal	511
testVal	561
testVal	1361
testVal	237
testVal	8015
testVal	1372
testVal	347
testVal	13107
testVal	1460
testVal	925
testVal	728
testVal	1441
testVal	439553
testVal	59934
testVal	2348
testVal	189
testVal	2754
testVal	228
testVal	679
testVal	764
testVal	374
testVal	233
testVal	3508
testVal	908
testVal	2152
testVal	3499
testVal	520
testVal	1445
testVal	612
testVal	2632
testVal	87
testVal	550
testVal	2479
testVal	11964
testVal	605
testVal	150
testVal	152
testVal	461
testVal	4371
testVal	410
testVal	19634
testVal	1778
testVal	10980
testVal	145
testVal	518
testVal	366
testVal	2588
testVal	179
testVal	1378
testVal	1200
testVal	87
testVal	560
testVal	602
testVal	8405
testVal	2638
testVal	3888
testVal	9941
testVal	1594
testVal	380
testVal	218
testVal	6790
testVal	135
testVal	1243
testVal	69
testVal	5070
testVal	13886
testVal	74
testVal	671
testVal	550
testVal	763
testVal	8449
testVal	77
testVal	670
testVal	1704
testVal	2685
testVal	566
testVal	94
testVal	3040
testVal	11153
testVal	2743
testVal	2467
testVal	4285
testVal	822
testVal	947
testVal	2978
testVal	8738
testVal	2138
testVal	470
testVal	371
testVal	363
testVal	99
testVal	173
testVal	446
testVal	54629
testVal	2314
testVal	1623
testVal	1784
testVal	879
testVal	4841
testVal	8289
testVal	1675
testVal	1103
testVal	1070
testVal	715
testVal	207
testVal	1174
testVal	1471
testVal	124888
testVal	1199
testVal	6974
testVal	1024
testVal	239
testVal	1514
testVal	1096
testVal	798
testVal	527
testVal	882
testVal	1573
testVal	131467
testVal	443
testVal	20762
testVal	827
testVal	93
testVal	971
testVal	4157
testVal	1063
testVal	168
testVal	562
testVal	1400
testVal	967
testVal	534
testVal	3798
testVal	3010
testVal	476
testVal	628
testVal	1036
testVal	202
testVal	900
testVal	127
testVal	759
testVal	1553
testVal	179
testVal	594
testVal	126
testVal	2045
testVal	20
testVal	322
testVal	162
testVal	4120
testVal	822
testVal	296
testVal	2363
testVal	1377808
testVal	7407
testVal	2767
testVal	6799
testVal	167
testVal	325
testVal	600
testVal	9442
testVal	1015
testVal	560
testVal	263
testVal	653
testVal	4022
testVal	2067
testVal	1762
testVal	410
testVal	18003
testVal	433
testVal	299
testVal	2425
testVal	254
testVal	219
testVal	198
testVal	26525
testVal	165
testVal	814
testVal	1788
testVal	458
testVal	4166
testVal	1136
testVal	333
testVal	971
testVal	7526
testVal	102
testVal	286
testVal	186
testVal	3807
